frame,t_s,ref_X_mm,ref_Y_mm,ref_corners,ref_rms_px,mm_per_px,top_corners,top_rms_px,xcheck_mm
118,1.9866,0.1137,0.0054,172,0.5679,0.193674,140,0.5621,0.1772
119,2.0034,0.0226,0.0153,168,0.4709,0.193623,143,0.6075,0.0851
120,2.0203,-0.2449,0.0042,163,0.4244,0.193724,140,0.5596,0.1900
121,2.0371,-0.1168,0.0233,163,0.4095,0.193591,139,0.5810,0.0030
122,2.0539,-0.0955,-0.0124,164,0.4362,0.193537,142,0.5734,0.0644
123,2.0708,-0.0681,-0.0075,163,0.4144,0.193544,142,0.5594,0.0597
124,2.0876,0.0197,-0.0046,168,0.4916,0.193618,141,0.5725,0.0754
125,2.1045,-0.0765,-0.0182,164,0.4377,0.193542,135,0.5841,0.0952
126,2.1213,-0.0707,0.0029,164,0.4258,0.193570,135,0.5844,0.0744
127,2.1381,-0.0704,0.0024,163,0.4103,0.193569,137,0.5626,0.0553
128,2.1550,-0.0705,0.0024,163,0.4103,0.193569,140,0.5502,0.0240
129,2.1718,-0.0709,0.0026,163,0.4103,0.193569,140,0.5501,0.0243
130,2.1886,-0.0611,-0.0191,164,0.4330,0.193526,141,0.5594,0.0506
131,2.2055,0.0504,-0.0175,173,0.5881,0.193688,141,0.5599,0.1203
132,2.2223,0.2368,-0.0761,173,0.6131,0.193624,141,0.5598,0.3155
133,2.2391,-0.0139,0.0285,167,0.4792,0.193709,140,0.5754,0.0967
134,2.2560,-0.0133,0.0284,167,0.4792,0.193709,140,0.5570,0.0533
135,2.2728,-0.0308,0.0304,166,0.4577,0.193629,141,0.5673,0.0476
136,2.2896,-0.0310,0.0303,166,0.4572,0.193629,142,0.5683,0.0125
137,2.3065,-0.0468,0.0194,164,0.4231,0.193592,143,0.5913,0.1343
138,2.3233,-0.0469,0.0193,164,0.4231,0.193592,143,0.5914,0.1344
139,2.3401,0.0998,-0.0731,175,0.6334,0.193587,143,0.5939,0.3085
140,2.3570,0.0075,0.0103,167,0.4708,0.193618,140,0.5744,0.1202
141,2.3738,0.0073,0.0102,167,0.4706,0.193618,140,0.5746,0.1202
142,2.3907,0.0046,0.0196,167,0.4753,0.193673,140,0.5747,0.1163
143,2.4075,0.0045,0.0196,167,0.4752,0.193673,140,0.5755,0.1160
144,2.4243,0.0052,0.0193,167,0.4752,0.193673,140,0.5762,0.0224
145,2.4412,0.0051,0.0194,167,0.4750,0.193673,140,0.5764,0.0221
146,2.4580,0.0056,0.0192,167,0.4750,0.193672,140,0.5763,0.0227
147,2.4748,0.0056,0.0191,167,0.4748,0.193672,135,0.5704,0.0310
148,2.4917,0.0060,0.0190,167,0.4748,0.193672,140,0.5753,0.1174
149,2.5085,0.0117,0.0195,167,0.4705,0.193628,141,0.5651,0.0458
150,2.5253,-0.1683,-0.0116,161,0.4121,0.193498,141,0.5902,0.2025
151,2.5422,-0.1680,-0.0117,162,0.4273,0.193497,126,0.5689,0.1388
152,2.5590,-0.0470,0.0459,164,0.4271,0.193624,137,0.5801,0.0510
153,2.5758,-0.0084,0.0572,167,0.4716,0.193652,141,0.5704,0.0789
154,2.5927,0.1518,-0.0702,176,0.6410,0.193562,139,0.5825,0.2571
155,2.6095,-0.0935,0.0250,163,0.4074,0.193583,139,0.5683,0.0401
156,2.6264,0.0730,-0.0230,170,0.5080,0.193597,139,0.5684,0.1348
157,2.6432,0.0733,-0.0229,170,0.5087,0.193596,142,0.5678,0.0717
158,2.6600,0.0733,-0.0229,170,0.5087,0.193596,142,0.5818,0.1481
159,2.6769,0.0828,-0.0261,170,0.5079,0.193586,142,0.5818,0.1582
160,2.6937,0.0382,0.0008,169,0.4930,0.193597,142,0.5818,0.1066
161,2.7105,0.0430,0.0011,167,0.4768,0.193639,141,0.5743,0.0670
162,2.7274,0.0309,0.0023,169,0.4936,0.193609,141,0.5742,0.0761
163,2.7442,0.0311,0.0023,169,0.4938,0.193609,141,0.5742,0.0759
164,2.7610,0.0308,0.0023,169,0.4938,0.193609,141,0.5742,0.0761
165,2.7779,0.0367,0.0014,169,0.4939,0.193599,132,0.5612,0.0088
166,2.7947,0.0367,0.0016,169,0.4938,0.193599,132,0.5612,0.0089
167,2.8115,0.0365,0.0016,169,0.4938,0.193599,131,0.5834,0.0160
168,2.8284,0.0403,0.0024,167,0.4775,0.193641,131,0.5834,0.0137
169,2.8452,0.0406,0.0025,167,0.4775,0.193641,131,0.5834,0.0133
170,2.8621,-0.1076,-0.0018,163,0.4104,0.193582,136,0.5975,0.0510
171,2.8789,0.0449,-0.0168,174,0.6050,0.193714,143,0.5896,0.1076
172,2.8957,0.0446,-0.0167,174,0.6050,0.193714,143,0.5893,0.1074
173,2.9126,0.0416,-0.0149,175,0.6156,0.193719,143,0.5893,0.1043
174,2.9294,0.0416,-0.0151,175,0.6155,0.193719,143,0.5893,0.1044
175,2.9462,0.0451,-0.0168,174,0.6044,0.193714,131,0.5486,0.1278
176,2.9631,0.0451,-0.0170,174,0.6043,0.193714,131,0.5487,0.1276
177,2.9799,-0.1327,0.0205,163,0.4118,0.193563,142,0.5738,0.1252
178,2.9967,0.0058,0.0187,168,0.4799,0.193629,142,0.5739,0.0296
179,3.0136,0.0269,-0.0048,171,0.5341,0.193657,142,0.5731,0.0373
180,3.0304,0.0119,0.0239,168,0.4788,0.193597,142,0.5510,0.0305
181,3.0472,0.0119,0.0239,168,0.4788,0.193597,136,0.5495,0.0605
182,3.0641,0.0120,0.0236,168,0.4791,0.193596,142,0.5498,0.0248
183,3.0809,-0.0134,0.0353,167,0.4697,0.193617,141,0.5651,0.1095
