frame,t_s,ref_X_mm,ref_Y_mm,ref_corners,ref_rms_px,mm_per_px,top_corners,top_rms_px,xcheck_mm
650,10.9431,-1.3968,-4.1729,161,0.4376,0.193693,142,0.5959,0.0687
651,10.9600,-1.3424,-4.2026,162,0.4378,0.193793,141,0.6288,0.0843
652,10.9768,-1.2274,-4.2449,166,0.5379,0.193962,140,0.6211,0.0877
653,10.9937,-1.2492,-4.3524,162,0.4461,0.193737,140,0.6115,0.1162
654,11.0105,-1.2807,-4.4100,162,0.4506,0.193768,138,0.6287,0.1294
655,11.0273,-1.1520,-4.4749,162,0.4465,0.193771,136,0.6304,0.0636
656,11.0442,-1.2082,-4.5700,162,0.4452,0.193780,142,0.6486,0.0290
657,11.0610,-1.2031,-4.6995,162,0.4493,0.193788,141,0.6294,0.3110
658,11.0778,-1.1275,-4.7668,164,0.4741,0.193803,136,0.6143,0.0936
659,11.0947,-1.1191,-4.8897,162,0.4504,0.193752,138,0.6331,0.3672
660,11.1115,-1.0236,-5.0157,165,0.4460,0.193806,139,0.6092,0.1105
661,11.1283,-1.1239,-5.1307,162,0.4323,0.193731,139,0.5719,0.1519
662,11.1452,-1.1570,-5.2999,164,0.4498,0.193897,138,0.6129,0.0482
663,11.1620,-1.0815,-5.4278,166,0.4984,0.193866,142,0.6293,0.3022
664,11.1788,-1.2387,-5.7081,165,0.4723,0.193904,139,0.5940,0.0584
665,11.1957,-1.3260,-5.8493,162,0.4275,0.193736,139,0.5896,0.1027
666,11.2125,-1.2574,-6.0179,162,0.4022,0.193797,141,0.6097,0.0726
667,11.2294,-1.1986,-6.2046,165,0.4631,0.193865,139,0.6027,0.1169
668,11.2462,-1.2426,-6.3890,162,0.4014,0.193806,140,0.6286,0.0438
669,11.2630,-1.1087,-6.5551,166,0.4787,0.193813,136,0.5894,0.0849
670,11.2799,-1.0394,-6.7696,167,0.5053,0.193818,137,0.5763,0.1185
671,11.2967,-1.2179,-6.9897,162,0.4202,0.193777,130,0.5783,0.0289
672,11.3135,-1.1451,-7.2633,161,0.4192,0.193731,130,0.5899,0.1650
673,11.3304,-1.0784,-7.5202,162,0.4185,0.193668,132,0.6164,0.1719
674,11.3472,-0.9841,-7.7666,167,0.5136,0.193714,129,0.6754,0.4250
675,11.3640,-1.2150,-7.9984,165,0.4705,0.193821,127,0.6296,0.1631
676,11.3809,-1.1417,-8.3895,167,0.5195,0.193906,129,0.6236,0.0592
677,11.3977,-1.2923,-8.8685,162,0.4455,0.193830,126,0.6092,0.1404
678,11.4145,-1.1676,-9.3209,162,0.4478,0.193817,109,0.6060,0.0883
679,11.4314,-1.1826,-9.8663,161,0.4473,0.193753,115,0.6346,0.1914
680,11.4482,-1.1366,-10.3409,165,0.4977,0.193857,104,0.6014,0.0533
681,11.4650,-1.0205,-10.8448,172,0.5693,0.194007,120,0.6738,0.0392
682,11.4819,-0.9725,-11.4291,175,0.5660,0.193896,104,0.6021,0.1194
683,11.4987,-1.1677,-12.0292,170,0.4955,0.193791,123,0.6623,0.0349
684,11.5156,-1.1507,-12.5801,176,0.5700,0.193975,122,0.6679,0.0293
685,11.5324,-1.3419,-13.0857,170,0.5177,0.193877,114,0.6348,0.1561
686,11.5492,-1.2754,-13.7087,177,0.5925,0.193958,110,0.6334,0.4610
687,11.5661,-1.3269,-14.2571,171,0.5223,0.193847,118,0.7435,0.1091
688,11.5829,-1.2202,-14.8141,177,0.5735,0.193950,115,0.6514,0.4092
689,11.5997,-1.0705,-15.5047,178,0.6163,0.193891,119,0.6565,0.2295
690,11.6166,-1.3495,-16.1219,170,0.4749,0.193729,116,0.6161,0.0919
691,11.6334,-1.2849,-16.7277,171,0.4960,0.193735,102,0.5968,0.0518
692,11.6502,-1.1430,-17.3102,176,0.5309,0.193849,107,0.6609,0.2449
693,11.6671,-1.1202,-17.9863,175,0.5206,0.193861,106,0.6374,0.0385
694,11.6839,-1.2463,-18.6045,170,0.4732,0.193812,105,0.6086,0.1183
695,11.7007,-1.3006,-19.1182,167,0.4651,0.193742,105,0.6598,0.0792
696,11.7176,-1.3408,-19.5784,173,0.5221,0.193970,95,0.6622,0.0579
697,11.7344,-1.1755,-20.1086,178,0.5722,0.194020,101,0.6990,0.1660
698,11.7513,-1.2789,-20.6772,171,0.4698,0.193838,101,0.6607,0.1022
699,11.7681,-1.3150,-21.2105,175,0.4955,0.193901,101,0.6789,0.1036
700,11.7849,-1.0296,-21.6590,184,0.5878,0.193842,100,0.7555,0.2632
701,11.8018,-1.5176,-22.2797,178,0.5554,0.194055,79,0.6100,0.3293
702,11.8186,-1.4661,-22.7588,175,0.5098,0.193799,96,0.6926,0.4529
703,11.8354,-1.4846,-23.2659,176,0.5134,0.193834,101,0.6863,0.0997
704,11.8523,-1.4396,-23.8153,171,0.4843,0.193687,89,0.6478,0.0315
705,11.8691,-1.4282,-24.2943,178,0.4916,0.193921,97,0.6635,0.0520
706,11.8859,-1.4889,-24.9264,171,0.4685,0.193747,95,0.6823,0.3904
707,11.9028,-1.1224,-25.5606,187,0.6124,0.193880,87,0.6609,0.2441
708,11.9196,-1.3586,-26.0779,187,0.5842,0.193989,92,0.7377,0.0833
709,11.9364,-1.4153,-26.7269,178,0.5077,0.193838,83,0.6824,0.0920
710,11.9533,-1.4844,-27.4355,178,0.5391,0.193897,85,0.6570,0.1048
711,11.9701,-1.5504,-28.1915,172,0.5027,0.193782,85,0.6575,0.2335
712,11.9870,-1.4133,-28.8347,186,0.6243,0.194099,82,0.7163,0.0301
713,12.0038,-1.2881,-29.7139,182,0.6216,0.193979,80,0.6951,0.1536
714,12.0206,-1.4648,-30.5093,181,0.5845,0.194021,73,0.7656,0.6958
715,12.0375,-1.2130,-31.5406,183,0.6007,0.193926,73,0.7155,0.2180
716,12.0543,-1.1305,-32.5900,182,0.5986,0.193905,64,0.6893,0.2425
717,12.0711,-0.9316,-33.7360,191,0.7038,0.193982,70,0.7021,0.3260
718,12.0880,-1.3056,-34.7135,180,0.6160,0.194006,58,0.6320,0.3817
719,12.1048,-1.3690,-35.7968,178,0.6174,0.193962,62,0.7271,0.5045
720,12.1216,-1.2160,-36.7329,196,0.6629,0.194082,51,0.5148,0.2132
721,12.1385,-1.2226,-37.7351,192,0.6330,0.194111,60,0.6141,0.2017
722,12.1553,-1.3688,-38.6166,180,0.5663,0.193974,57,0.7135,0.3844
723,12.1721,-1.2047,-39.5284,189,0.6409,0.194071,41,0.4918,0.2168
724,12.1890,-1.5858,-40.3554,179,0.5352,0.193957,51,0.7282,0.1785
725,12.2058,-1.5010,-41.1660,189,0.6276,0.194134,49,0.6865,0.5729
726,12.2227,-1.4706,-42.0085,188,0.6227,0.194156,46,0.6798,0.3588
727,12.2395,-1.3995,-42.7653,174,0.5824,0.193540,51,0.7562,0.2698
728,12.2563,-1.5722,-43.6543,180,0.5380,0.193908,37,0.5230,0.1852
729,12.2732,-1.6008,-44.5912,180,0.5425,0.194074,41,0.7339,1.1813
730,12.2900,-1.4854,-45.5619,176,0.5647,0.193916,41,0.7728,0.1751
731,12.3068,-1.3685,-46.4077,179,0.5602,0.193932,33,0.4530,0.4757
732,12.3237,-1.3350,-47.3558,192,0.6484,0.194279,30,0.5161,0.6770
733,12.3405,-1.4238,-48.4163,194,0.6569,0.194347,29,0.5687,0.7472
734,12.3573,-1.1874,-49.5634,188,0.6610,0.194157,28,0.6603,4.2715
735,12.3742,-1.4196,-50.5745,189,0.6757,0.194250,,,
736,12.3910,-1.5571,-51.7630,173,0.5834,0.194069,,,
737,12.4078,-1.7823,-52.9456,168,0.5894,0.194007,,,
738,12.4247,-1.5112,-53.9860,190,0.7188,0.194309,,,
739,12.4415,-1.4662,-55.2380,188,0.7029,0.194200,,,
740,12.4584,-1.3353,-56.4823,188,0.7389,0.194152,,,
741,12.4752,-1.2729,-57.6543,185,0.7123,0.193982,,,
742,12.4920,-1.1196,-59.1261,183,0.7740,0.194160,,,
743,12.5089,-1.4631,-60.2860,181,0.7560,0.194425,,,
744,12.5257,-1.4790,-61.7021,164,0.6520,0.193975,,,
745,12.5425,-1.2365,-62.9309,174,0.7894,0.194221,,,
746,12.5594,-0.8362,-64.3724,161,0.7889,0.193982,,,
747,12.5762,-1.6177,-65.5252,169,0.7244,0.194227,,,
748,12.5930,-1.2515,-66.8111,177,0.7562,0.194190,,,
749,12.6099,-1.5488,-68.2738,174,0.6993,0.194308,,,
750,12.6267,-1.4844,-69.5821,180,0.7076,0.194259,,,
751,12.6435,-0.5829,-71.3425,169,0.8042,0.193702,,,
752,12.6604,-1.6775,-72.6753,169,0.6726,0.194349,,,
753,12.6772,-1.4556,-73.9342,177,0.7179,0.194278,,,
754,12.6940,-1.7652,-75.6419,174,0.6835,0.194287,,,
755,12.7109,-1.5042,-77.2155,166,0.7954,0.194152,,,
756,12.7277,-1.5878,-78.8316,174,0.7255,0.194190,,,
757,12.7446,-1.5138,-80.3615,172,0.7789,0.194020,,,
758,12.7614,-1.7244,-82.0910,166,0.7929,0.194378,,,
759,12.7782,-1.5984,-83.5895,168,0.7816,0.193892,,,
760,12.7951,-1.7765,-85.1247,166,0.8165,0.194613,,,
761,12.8119,-1.7688,-86.9155,162,0.7521,0.193947,,,
762,12.8287,-1.9734,-88.3672,160,0.7314,0.194360,,,
763,12.8456,-2.0174,-89.7553,165,0.7393,0.194344,,,
764,12.8624,-1.7857,-91.0899,173,0.7865,0.194273,,,
765,12.8792,-1.8929,-92.6368,158,0.6905,0.194147,,,
766,12.8961,-1.8015,-93.8799,170,0.8013,0.194220,,,
767,12.9129,-1.5503,-95.4440,151,0.7337,0.193843,,,
768,12.9297,-1.8690,-97.1998,158,0.7304,0.194022,,,
769,12.9466,-1.8858,-98.4285,165,0.8740,0.194209,,,
770,12.9634,-1.6481,-100.5328,156,0.8171,0.193998,,,
771,12.9803,-1.7722,-102.1869,157,0.8121,0.194056,,,
772,12.9971,-1.9057,-103.8510,156,0.8118,0.194250,,,
773,13.0139,-1.5612,-105.8831,148,0.7619,0.194086,,,
774,13.0308,-1.5603,-107.4685,155,0.8204,0.194035,,,
775,13.0476,-0.7285,-109.2824,145,0.8586,0.193720,,,
776,13.0644,-1.8355,-111.4565,136,0.9027,0.194262,,,
777,13.0813,-0.6697,-112.7942,127,0.8583,0.193620,,,
778,13.0981,-1.4928,-114.9080,142,0.9322,0.194385,,,
779,13.1149,-1.5941,-117.9166,119,0.8466,0.194397,,,
780,13.1318,-1.4854,-119.4693,138,0.7922,0.194361,,,
781,13.1486,-1.4288,-121.3027,149,0.8732,0.194804,,,
782,13.1654,-1.1439,-123.1345,149,0.8943,0.194343,,,
783,13.1823,-1.8186,-124.2641,160,0.8642,0.194647,,,
784,13.1991,-1.5540,-126.0739,157,0.8410,0.194728,,,
785,13.2160,-1.5862,-127.2236,171,0.8348,0.194402,,,
786,13.2328,-2.2365,-128.7326,165,0.7661,0.194691,,,
787,13.2496,-2.1900,-129.6094,172,0.7432,0.194636,,,
788,13.2665,-2.0343,-130.6174,157,0.7270,0.194794,,,
789,13.2833,-1.9343,-131.7403,150,0.7024,0.194523,,,
790,13.3001,-1.9792,-132.2996,171,0.8447,0.194456,,,
791,13.3170,-2.3017,-133.5929,139,0.5765,0.195139,,,
792,13.3338,-2.1523,-134.5370,139,0.6893,0.194888,,,
793,13.3506,-2.7663,-135.7036,154,0.6987,0.194888,,,
794,13.3675,-2.6047,-136.7431,155,0.7083,0.194782,,,
795,13.3843,-2.1386,-137.7810,142,0.6138,0.195272,,,
796,13.4011,-2.4984,-139.0904,145,0.7009,0.194723,,,
797,13.4180,-1.9598,-140.0269,166,0.7973,0.194514,,,
798,13.4348,-1.7946,-141.0370,161,0.7391,0.194666,,,
799,13.4517,-2.1796,-142.1950,150,0.6434,0.195084,,,
800,13.4685,-2.3645,-143.4130,153,0.7201,0.194953,,,
801,13.4853,-2.3561,-144.4668,159,0.7266,0.195001,,,
802,13.5022,-1.5504,-145.4993,137,0.7242,0.194292,,,
803,13.5190,-2.3253,-146.5263,150,0.6071,0.195074,,,
804,13.5358,-2.3592,-147.6164,151,0.6300,0.195038,,,
805,13.5527,-2.5798,-148.6982,155,0.6626,0.194995,,,
806,13.5695,-2.7947,-149.9899,152,0.6486,0.195143,,,
807,13.5863,-2.5764,-150.9679,159,0.7901,0.194655,,,
808,13.6032,-2.5994,-152.5816,138,0.5992,0.195079,,,
809,13.6200,-2.2405,-153.9969,144,0.6719,0.194827,,,
810,13.6368,-2.2069,-155.6509,137,0.5940,0.195045,,,
811,13.6537,-2.2302,-157.1331,143,0.6758,0.194939,,,
812,13.6705,-1.8044,-158.8230,145,0.7896,0.194351,,,
813,13.6874,-2.3351,-160.5649,142,0.7474,0.194766,,,
814,13.7042,-2.8093,-162.5485,135,0.7090,0.195383,,,
815,13.7210,-1.9931,-164.3274,126,0.6517,0.195111,,,
816,13.7379,-2.8587,-166.4274,135,0.7833,0.195027,,,
817,13.7547,-1.8603,-167.7676,132,0.8551,0.194083,,,
818,13.7715,-1.7744,-169.9369,127,0.7260,0.194937,,,
819,13.7884,-2.2257,-171.7667,125,0.6919,0.195225,,,
820,13.8052,-1.8565,-173.3331,129,0.6892,0.194678,,,
821,13.8220,-2.3783,-174.8397,128,0.6205,0.195128,,,
822,13.8389,-1.8438,-176.1198,128,0.7362,0.194009,,,
823,13.8557,-2.4967,-177.2603,131,0.5555,0.194996,,,
824,13.8725,-3.0918,-178.4370,136,0.6404,0.195154,,,
825,13.8894,-3.3956,-179.3152,135,0.6439,0.195364,,,
826,13.9062,-2.9016,-180.1032,135,0.6483,0.194786,,,
827,13.9230,-2.9870,-181.0655,128,0.5633,0.195196,,,
828,13.9399,-2.8842,-182.0348,124,0.5669,0.195100,,,
829,13.9567,-2.7072,-182.8419,124,0.5322,0.194847,,,
830,13.9736,-3.2094,-183.8776,127,0.5499,0.195086,,,
831,13.9904,-2.8011,-184.6241,123,0.5302,0.195149,,,
832,14.0072,-2.7770,-185.3308,123,0.5108,0.195030,,,
833,14.0241,-2.9932,-185.8768,128,0.6164,0.194778,,,
834,14.0409,-2.8209,-186.7868,124,0.5049,0.195048,,,
835,14.0577,-2.8787,-187.4317,124,0.4972,0.195063,,,
836,14.0746,-3.0832,-188.1768,124,0.4983,0.195186,,,
837,14.0914,-2.9202,-188.7369,128,0.5949,0.194718,,,
838,14.1082,-3.1241,-189.4450,128,0.5482,0.195038,,,
839,14.1251,-2.9678,-190.0926,124,0.4872,0.195051,,,
840,14.1419,-3.2037,-190.7007,129,0.5853,0.194870,,,
841,14.1587,-2.9497,-191.4525,123,0.4914,0.195084,,,
842,14.1756,-2.8487,-192.1001,121,0.5401,0.195123,,,
843,14.1924,-3.0424,-192.8923,117,0.4762,0.195096,,,
844,14.2093,-2.8739,-193.5561,122,0.6023,0.194607,,,
845,14.2261,-2.8743,-194.2986,121,0.5517,0.194719,,,
846,14.2429,-2.9273,-195.0988,121,0.5673,0.194908,,,
847,14.2598,-2.7673,-195.9059,122,0.6335,0.194550,,,
848,14.2766,-3.0674,-196.7470,121,0.5574,0.195001,,,
849,14.2934,-2.9794,-197.5155,116,0.4604,0.195030,,,
850,14.3103,-3.1742,-198.3773,117,0.4840,0.195134,,,
851,14.3271,-3.0477,-198.9868,116,0.4577,0.195096,,,
852,14.3439,-2.8548,-199.5507,114,0.4793,0.195295,,,
853,14.3608,-2.9216,-200.0370,116,0.4954,0.195161,,,
854,14.3776,-3.0285,-200.5001,117,0.4524,0.195016,,,
855,14.3944,-3.2084,-200.9355,122,0.5563,0.195005,,,
856,14.4113,-3.0357,-201.3496,111,0.4870,0.195434,,,
857,14.4281,-3.1096,-201.4950,120,0.5593,0.195019,,,
858,14.4450,-2.9142,-201.6667,118,0.5309,0.194998,,,
859,14.4618,-2.7994,-201.8026,114,0.4997,0.195239,,,
860,14.4786,-2.8181,-201.8609,113,0.4992,0.195264,,,
861,14.4955,-2.9973,-201.9064,116,0.5251,0.195050,,,
862,14.5123,-2.8198,-201.8498,115,0.4991,0.195019,,,
863,14.5291,-2.6987,-201.8519,114,0.4635,0.195137,,,
864,14.5460,-2.9450,-201.8583,115,0.4708,0.195040,,,
865,14.5628,-2.7172,-201.7602,113,0.4478,0.195065,,,
866,14.5796,-2.9379,-201.7709,115,0.4687,0.195019,,,
867,14.5965,-3.5991,-202.0533,115,0.5128,0.195385,,,
868,14.6133,-3.3781,-201.7178,114,0.4706,0.195361,,,
869,14.6301,-3.1991,-201.7526,115,0.4805,0.195070,,,
870,14.6470,-3.0846,-201.6724,119,0.5263,0.194993,,,
871,14.6638,-3.0460,-201.6713,116,0.4708,0.195094,,,
872,14.6807,-2.8426,-201.6312,117,0.4766,0.195141,,,
873,14.6975,-2.7021,-201.6294,114,0.4690,0.195250,,,
874,14.7143,-2.7859,-201.5594,117,0.4928,0.195098,,,
875,14.7312,-2.7569,-201.5573,117,0.5022,0.195097,,,
876,14.7480,-2.6347,-201.5053,116,0.4732,0.195088,,,
877,14.7648,-2.8688,-201.4751,121,0.5675,0.195162,,,
878,14.7817,-2.4862,-201.2531,120,0.5772,0.194820,,,
879,14.7985,-2.6553,-201.2015,119,0.5132,0.195046,,,
880,14.8153,-2.6107,-201.2076,116,0.4657,0.195197,,,
881,14.8322,-2.9257,-201.1906,118,0.4813,0.195103,,,
882,14.8490,-2.8017,-201.0616,120,0.5303,0.194815,,,
883,14.8658,-2.7238,-201.1216,116,0.4617,0.195207,,,
884,14.8827,-3.0425,-201.2096,117,0.4984,0.195109,,,
885,14.8995,-2.8985,-201.0956,116,0.4266,0.195104,,,
886,14.9163,-2.8739,-201.0426,120,0.5189,0.194929,,,
887,14.9332,-2.9775,-201.0474,118,0.4802,0.195124,,,
888,14.9500,-2.9436,-201.0186,116,0.4478,0.195154,,,
889,14.9669,-2.9541,-200.9399,120,0.5110,0.195051,,,
890,14.9837,-3.0989,-200.9639,121,0.6487,0.194718,,,
891,15.0005,-2.9831,-200.9110,118,0.4973,0.195051,,,
892,15.0174,-3.4612,-201.1061,117,0.5063,0.195231,,,
893,15.0342,-2.9393,-200.9023,116,0.4716,0.195153,,,
894,15.0510,-3.0346,-200.8351,118,0.4792,0.195087,,,
895,15.0679,-2.9679,-200.8189,116,0.4572,0.195224,,,
896,15.0847,-2.9735,-200.7171,118,0.4861,0.195184,,,
897,15.1015,-2.6194,-200.7052,116,0.4694,0.195254,,,
898,15.1184,-2.8935,-200.6798,116,0.4476,0.195217,,,
899,15.1352,-2.9611,-200.6841,117,0.4750,0.195250,,,
900,15.1520,-3.0419,-200.5988,119,0.4900,0.195139,,,
901,15.1689,-2.8249,-200.4746,118,0.4735,0.195099,,,
902,15.1857,-2.6972,-200.5154,116,0.4290,0.195361,,,
903,15.2026,-2.6961,-200.4421,117,0.4578,0.195214,,,
904,15.2194,-2.6212,-200.3714,117,0.4560,0.195294,,,
905,15.2362,-2.3863,-200.2399,116,0.4763,0.195252,,,
906,15.2531,-2.5069,-200.1669,117,0.4802,0.195255,,,
907,15.2699,-2.2305,-200.0172,115,0.4615,0.195303,,,
908,15.2867,-2.5614,-199.8676,116,0.4704,0.195147,,,
909,15.3036,-2.7439,-199.7075,118,0.4906,0.195206,,,
910,15.3204,-2.6662,-199.5303,115,0.4610,0.195246,,,
911,15.3372,-2.4373,-199.2580,117,0.4587,0.195261,,,
912,15.3541,-2.3250,-199.0223,116,0.4797,0.195329,,,
913,15.3709,-2.1847,-198.6125,117,0.4820,0.195279,,,
914,15.3877,-2.0200,-198.1756,116,0.4886,0.195362,,,
915,15.4046,-2.3845,-197.8170,117,0.4675,0.195466,,,
916,15.4214,-2.4227,-197.3375,118,0.4871,0.195557,,,
917,15.4383,-1.9447,-196.6972,118,0.4906,0.195434,,,
918,15.4551,-1.6713,-196.2294,120,0.5263,0.195404,,,
919,15.4719,-1.3735,-195.8825,117,0.4941,0.195518,,,
920,15.4888,-1.2250,-195.5072,118,0.4911,0.195488,,,
921,15.5056,-1.0967,-195.1310,119,0.4952,0.195409,,,
922,15.5224,-1.1541,-194.7176,120,0.4988,0.195378,,,
923,15.5393,-1.1066,-194.2926,117,0.4733,0.195500,,,
924,15.5561,-0.9804,-193.7876,119,0.5242,0.195484,,,
925,15.5729,-1.6040,-193.3481,118,0.5167,0.195602,,,
926,15.5898,-1.5085,-192.4924,123,0.6089,0.195306,,,
927,15.6066,-1.6417,-191.7536,124,0.6253,0.195416,,,
928,15.6234,-1.6916,-190.6235,125,0.7068,0.195401,,,
929,15.6403,-1.6876,-188.8512,118,0.7736,0.195450,,,
930,15.6571,-1.8040,-187.1389,119,0.6150,0.195409,,,
931,15.6740,-1.8664,-185.3975,124,0.6480,0.195205,,,
932,15.6908,-2.8502,-184.2824,115,0.7504,0.195543,,,
933,15.7076,-3.0278,-182.4688,110,0.7808,0.195106,,,
934,15.7245,-2.9646,-180.4170,126,0.7889,0.195412,,,
935,15.7413,-3.1835,-178.4232,120,0.8093,0.195890,,,
936,15.7581,-1.5411,-175.1554,106,0.8435,0.194590,,,
937,15.7750,-2.5450,-173.6020,107,0.8245,0.195572,,,
938,15.7918,-2.5492,-171.3319,116,0.8485,0.195093,,,
939,15.8086,-2.5410,-169.4035,118,0.8458,0.195632,,,
940,15.8255,-0.5150,-166.1243,108,0.8526,0.194140,,,
941,15.8423,-1.5351,-164.3428,111,0.8463,0.194422,,,
942,15.8591,-0.7031,-161.0209,82,0.8818,0.193595,,,
943,15.8760,-2.8382,-159.5317,66,0.8373,0.195285,,,
944,15.8928,-1.0436,-158.9749,45,0.8136,0.193993,,,
945,15.9097,-0.7572,-154.3112,57,0.9336,0.194177,,,
946,15.9265,-0.9905,-151.9289,61,0.8756,0.195399,,,
947,15.9433,-1.1749,-148.9781,55,0.8392,0.194829,,,
948,15.9602,-5.0061,-145.9804,57,0.9603,0.196732,,,
949,15.9770,-1.7838,-142.8537,71,0.9901,0.194352,,,
950,15.9938,-1.8250,-139.8062,73,0.8881,0.194790,,,
951,16.0107,-1.6178,-137.0237,82,0.8629,0.194817,,,
952,16.0275,-1.6902,-134.5178,104,0.8935,0.194801,,,
953,16.0443,-0.9629,-132.0546,91,0.8769,0.194369,,,
954,16.0612,-1.4762,-130.3879,93,0.9432,0.194887,,,
955,16.0780,-1.5230,-127.5872,102,0.8673,0.195112,,,
956,16.0948,-2.3668,-125.2546,98,0.8680,0.195689,,,
957,16.1117,-0.3237,-121.2188,107,0.8811,0.194191,,,
958,16.1285,-0.0669,-118.7712,114,0.9637,0.193981,,,
959,16.1453,-2.8185,-117.4482,55,0.8472,0.197160,,,
960,16.1622,-1.8511,-113.7379,80,0.8683,0.194965,,,
961,16.1790,-1.3518,-111.2433,86,0.8988,0.194735,,,
962,16.1959,-1.6376,-108.3286,105,0.8431,0.195028,,,
963,16.2127,-0.6987,-105.3023,108,0.8932,0.194327,,,
964,16.2295,-1.6842,-103.5432,91,0.9749,0.194937,,,
965,16.2464,-0.5204,-100.3372,116,0.9232,0.194115,,,
966,16.2632,-1.4229,-98.6718,99,0.9092,0.194865,,,
967,16.2800,-1.0744,-95.7914,106,0.9617,0.194633,,,
968,16.2969,-0.6685,-93.6090,104,0.8762,0.194171,,,
969,16.3137,-1.4500,-90.7157,114,0.9399,0.194959,,,
970,16.3305,-0.9165,-88.4299,99,0.9084,0.194643,,,
971,16.3474,-1.6325,-86.6534,109,0.8486,0.195232,,,
972,16.3642,0.5366,-83.4673,114,0.9467,0.193543,,,
973,16.3810,-1.1986,-81.7616,77,0.8437,0.195080,,,
974,16.3979,-1.7172,-79.1173,103,0.8079,0.195379,,,
975,16.4147,-1.6368,-76.4899,105,0.8753,0.195348,,,
976,16.4316,-0.7039,-73.2158,92,0.8979,0.194670,,,
977,16.4484,0.1616,-70.8792,94,0.8627,0.193891,,,
978,16.4652,-0.8158,-68.4453,68,0.8620,0.194773,,,
979,16.4821,0.2546,-65.4105,74,0.9029,0.193673,,,
980,16.4989,-1.5910,-62.4609,86,0.9001,0.195117,,,
981,16.5157,-1.3713,-60.1400,93,0.9158,0.194794,,,
982,16.5326,-1.4327,-57.4895,109,0.9116,0.194861,,,
983,16.5494,-1.5505,-55.8074,117,0.9034,0.194763,,,
984,16.5662,-1.9283,-52.9851,131,0.8419,0.194965,,,
985,16.5831,-1.1855,-50.0467,150,0.8770,0.194491,,,
986,16.5999,-1.7336,-47.7247,147,0.8552,0.194968,29,0.8006,1.1941
987,16.6167,-0.8548,-45.3754,155,0.8311,0.194480,32,0.6670,0.5433
988,16.6336,-0.6942,-43.1341,152,0.8711,0.194674,34,0.7052,0.6669
989,16.6504,-1.2495,-40.9588,157,0.8421,0.194942,42,0.8656,0.8728
990,16.6673,-0.6376,-38.9257,182,0.7354,0.194586,54,0.7589,0.2598
991,16.6841,-0.8207,-36.8467,170,0.6798,0.194464,62,0.7576,0.1459
992,16.7009,-0.6227,-34.9172,169,0.6992,0.194317,68,0.7018,0.2497
993,16.7178,-0.8513,-32.7338,172,0.7030,0.194572,69,0.7363,0.4401
994,16.7346,-0.5703,-30.4935,174,0.8072,0.194633,72,0.7489,0.7033
995,16.7514,-0.7976,-28.3670,167,0.6579,0.194570,79,0.7435,0.5202
996,16.7683,-0.5162,-26.1248,181,0.8200,0.194326,87,0.7735,0.4430
997,16.7851,-0.9613,-24.1969,167,0.7384,0.194521,94,0.7676,0.3724
998,16.8019,-0.2625,-22.5112,175,0.7807,0.193951,98,0.7068,0.6560
999,16.8188,-0.8749,-20.4982,169,0.7116,0.194433,97,0.7064,0.4806
1000,16.8356,-0.5728,-18.6671,164,0.8235,0.193922,103,0.6968,0.5305
1001,16.8524,-0.9288,-16.7532,160,0.6689,0.194305,102,0.7399,0.1515
1002,16.8693,-1.2685,-14.8642,156,0.6661,0.194603,114,0.7558,0.6776
1003,16.8861,-0.9136,-12.7469,161,0.6821,0.194587,111,0.7119,0.0488
1004,16.9030,-1.1224,-10.6824,158,0.7158,0.194479,116,0.7273,0.3657
1005,16.9198,-0.0087,-9.2588,142,0.7284,0.193227,114,0.7292,0.9181
1006,16.9366,-1.0276,-6.4129,144,0.6728,0.194172,120,0.7604,0.2990
1007,16.9535,-0.6560,-4.4297,148,0.7046,0.194054,124,0.7604,0.1847
1008,16.9703,-0.9296,-1.9261,84,0.7634,0.193860,69,0.8185,0.1777
1009,16.9871,0.2001,1.0452,87,0.8765,0.192190,66,0.7782,1.1417
1010,17.0040,-0.4519,3.3610,92,0.8855,0.193162,90,0.8375,0.6677
1011,17.0208,-1.1610,5.9706,113,0.7971,0.194338,132,0.8265,0.2669
1012,17.0376,-1.1080,7.8208,116,0.8125,0.194198,124,0.8192,0.0472
1013,17.0545,-0.5130,9.7918,118,0.7548,0.193458,156,0.7891,0.6098
1014,17.0713,-1.5954,11.6238,128,0.7613,0.194018,151,0.7668,0.5590
1015,17.0881,-0.7383,13.1041,127,0.7934,0.194241,141,0.8086,0.2866
1016,17.1050,-0.8154,14.3338,127,0.7202,0.194003,152,0.6719,0.0483
1017,17.1218,-1.2088,15.6824,125,0.7358,0.193818,151,0.7320,0.6656
1018,17.1386,-0.7424,17.4190,125,0.6591,0.194003,155,0.7392,0.4358
1019,17.1555,-0.0998,18.6678,126,0.7369,0.193873,151,0.7346,0.2929
1020,17.1723,-0.2165,20.3997,127,0.6677,0.193810,146,0.7011,0.2600
1021,17.1892,-0.2659,22.0022,129,0.7022,0.193400,148,0.7027,0.2074
1022,17.2060,0.3697,22.7478,128,0.7011,0.193243,148,0.6898,0.8735
1023,17.2228,-0.3779,24.2863,131,0.6395,0.193697,160,0.7118,0.1820
1024,17.2397,0.1751,25.3877,133,0.6909,0.193268,148,0.6822,0.4884
1025,17.2565,0.2235,26.3062,135,0.6980,0.193406,149,0.6610,0.6314
