frame,t_s,est_X_mm,est_Y_mm,tracked_points,inlier_ratio,roi_visible,flags
139,2.3401,-0.0024,-0.0023,2000,1.0000,0.6084,
140,2.3570,-0.0024,-0.0023,1999,1.0000,0.6101,
141,2.3738,-0.0024,-0.0022,2000,1.0000,0.6101,
142,2.3907,-0.0024,-0.0021,2000,1.0000,0.6102,
143,2.4075,-0.0024,-0.0021,2000,1.0000,0.6102,
144,2.4243,-0.0024,-0.0022,2000,1.0000,0.6102,
145,2.4412,-0.0025,-0.0021,2000,1.0000,0.6102,
146,2.4580,-0.0025,-0.0023,2000,1.0000,0.6102,
147,2.4748,-0.0024,-0.0022,2000,1.0000,0.6102,
148,2.4917,-0.0024,-0.0023,2000,1.0000,0.6102,
149,2.5085,-0.0023,-0.0023,2000,1.0000,0.6098,
150,2.5253,-0.0035,-0.0014,2000,1.0000,0.6103,
151,2.5422,-0.0035,-0.0014,2000,1.0000,0.6103,
152,2.5590,-0.0035,-0.0013,1999,1.0000,0.6103,
153,2.5758,-0.0036,-0.0016,1999,1.0000,0.6102,
154,2.5927,-0.0036,-0.0016,2000,1.0000,0.6083,
155,2.6095,-0.0036,-0.0016,1999,1.0000,0.6103,
156,2.6264,-0.0035,-0.0017,2000,1.0000,0.6095,
157,2.6432,-0.0036,-0.0017,2000,1.0000,0.6095,
158,2.6600,-0.0036,-0.0018,2000,1.0000,0.6095,
159,2.6769,-0.0035,-0.0017,2000,1.0000,0.6095,
160,2.6937,-0.0035,-0.0018,2000,1.0000,0.6096,
161,2.7105,-0.0034,-0.0018,2000,1.0000,0.6102,
162,2.7274,-0.0035,-0.0017,2000,1.0000,0.6097,
163,2.7442,-0.0035,-0.0017,1999,1.0000,0.6097,
164,2.7610,-0.0035,-0.0017,2000,1.0000,0.6097,
165,2.7779,-0.0036,-0.0016,2000,1.0000,0.6096,
166,2.7947,-0.0035,-0.0016,2000,1.0000,0.6096,
167,2.8115,-0.0035,-0.0016,2000,1.0000,0.6096,
168,2.8284,-0.0036,-0.0016,2000,1.0000,0.6102,
169,2.8452,-0.0036,-0.0016,2000,1.0000,0.6102,
170,2.8621,-0.0036,-0.0016,2000,1.0000,0.6105,
171,2.8789,-0.0040,-0.0013,2000,1.0000,0.6088,
172,2.8957,-0.0040,-0.0013,1999,1.0000,0.6088,
173,2.9126,-0.0039,-0.0012,2000,1.0000,0.6088,
174,2.9294,-0.0040,-0.0012,1999,1.0000,0.6088,
175,2.9462,-0.0040,-0.0012,2000,1.0000,0.6088,
176,2.9631,-0.0039,-0.0012,2000,1.0000,0.6088,
177,2.9799,-0.0041,-0.0012,2000,1.0000,0.6103,
178,2.9967,-0.0040,-0.0012,2000,1.0000,0.6099,
179,3.0136,-0.0041,-0.0012,2000,1.0000,0.6093,
180,3.0304,-0.0046,-0.0016,1996,1.0000,0.6099,
181,3.0472,-0.0045,-0.0016,2000,1.0000,0.6099,
182,3.0641,-0.0045,-0.0016,2000,1.0000,0.6099,
183,3.0809,-0.0045,-0.0016,2000,1.0000,0.6102,
184,3.0978,-0.0046,-0.0016,2000,1.0000,0.6098,
185,3.1146,-0.0046,-0.0016,2000,1.0000,0.6105,
186,3.1314,-0.0046,-0.0016,2000,1.0000,0.6105,
187,3.1483,-0.0045,-0.0016,2000,1.0000,0.6105,
188,3.1651,-0.0046,-0.0016,2000,1.0000,0.6099,
189,3.1819,-0.0046,-0.0017,2000,1.0000,0.6087,
190,3.1988,-0.0046,-0.0016,2000,1.0000,0.6087,
