frame,t_s,ref_X_mm,ref_Y_mm,est_X_mm,est_Y_mm,err_X_mm,err_Y_mm,err_norm_mm,est_oracle_X_mm,est_oracle_Y_mm,err_oracle_mm,tracked_points,inlier_ratio,roi_visible,ref_corners,ref_rms_px,mm_per_px,xcheck_mm,flags
80,1.3468,0.3241,-0.1646,0.0010,-0.0005,-0.3231,0.1641,0.3624,0.0010,-0.0005,0.3624,2000,1.0000,0.6087,172,0.6049,0.193518,0.2528,
81,1.3637,0.1777,-0.0592,0.0010,-0.0004,-0.1767,0.0588,0.1862,0.0010,-0.0004,0.1862,2000,1.0000,0.6094,170,0.5182,0.193581,0.1911,
82,1.3805,0.0857,-0.0194,0.0010,-0.0004,-0.0847,0.0190,0.0868,0.0010,-0.0004,0.0868,2000,1.0000,0.6090,172,0.5556,0.193662,0.1565,
83,1.3974,0.0855,-0.0194,0.0009,-0.0004,-0.0846,0.0190,0.0867,0.0009,-0.0004,0.0867,2000,1.0000,0.6090,172,0.5559,0.193662,0.1245,
84,1.4142,0.0853,-0.0193,0.0009,-0.0005,-0.0844,0.0188,0.0865,0.0009,-0.0005,0.0865,2000,1.0000,0.6090,172,0.5560,0.193662,0.0723,
85,1.4310,-0.0079,0.0339,0.0008,-0.0006,0.0087,-0.0345,0.0356,0.0008,-0.0005,0.0355,2000,1.0000,0.6105,164,0.4322,0.193635,0.0737,
86,1.4479,0.0389,0.0106,0.0008,-0.0006,-0.0381,-0.0112,0.0397,0.0008,-0.0006,0.0397,2000,1.0000,0.6097,169,0.4891,0.193635,0.1058,
87,1.4647,-0.0671,0.0113,0.0006,-0.0004,0.0677,-0.0117,0.0687,0.0006,-0.0004,0.0687,2000,1.0000,0.6103,164,0.4234,0.193581,0.0454,
88,1.4815,-0.1500,-0.0184,0.0006,-0.0004,0.1506,0.0180,0.1517,0.0006,-0.0004,0.1517,2000,1.0000,0.6103,162,0.4217,0.193505,0.0432,
89,1.4984,0.0824,-0.0059,0.0005,-0.0004,-0.0819,0.0055,0.0821,0.0005,-0.0004,0.0821,2000,1.0000,0.6098,169,0.4926,0.193619,0.1937,
90,1.5152,-0.0500,0.0010,-0.0007,-0.0008,0.0493,-0.0018,0.0493,-0.0007,-0.0008,0.0493,1998,1.0000,0.6101,164,0.4212,0.193546,0.0404,
91,1.5320,0.1083,-0.0135,-0.0007,-0.0009,-0.1090,0.0126,0.1097,-0.0007,-0.0009,0.1097,2000,1.0000,0.6087,176,0.6220,0.193692,0.1283,
92,1.5489,0.1082,-0.0136,-0.0007,-0.0009,-0.1089,0.0127,0.1096,-0.0007,-0.0009,0.1096,2000,1.0000,0.6087,176,0.6220,0.193692,0.1278,
93,1.5657,0.0662,-0.0591,-0.0008,-0.0008,-0.0670,0.0583,0.0888,-0.0007,-0.0008,0.0887,2000,1.0000,0.6089,166,0.5027,0.193465,0.0484,
94,1.5825,0.0105,-0.0113,-0.0008,-0.0008,-0.0113,0.0105,0.0154,-0.0008,-0.0008,0.0154,2000,1.0000,0.6103,164,0.4230,0.193549,0.0796,
95,1.5994,0.0503,0.0096,-0.0009,-0.0008,-0.0512,-0.0104,0.0522,-0.0009,-0.0008,0.0522,2000,1.0000,0.6097,169,0.4873,0.193613,0.1628,
96,1.6162,0.1343,-0.0434,-0.0008,-0.0008,-0.1351,0.0426,0.1417,-0.0008,-0.0008,0.1417,1998,1.0000,0.6090,171,0.5330,0.193527,0.2426,
97,1.6331,0.0973,0.0064,-0.0008,-0.0007,-0.0981,-0.0071,0.0984,-0.0008,-0.0007,0.0984,1999,1.0000,0.6089,176,0.6289,0.193716,0.0603,
98,1.6499,0.0790,-0.0055,-0.0008,-0.0007,-0.0798,0.0048,0.0799,-0.0008,-0.0007,0.0799,2000,1.0000,0.6100,168,0.4751,0.193602,0.0975,
99,1.6667,0.0287,0.0154,-0.0009,-0.0007,-0.0296,-0.0161,0.0337,-0.0009,-0.0007,0.0337,1999,1.0000,0.6100,168,0.4729,0.193616,0.0652,
100,1.6836,0.0384,0.0092,-0.0009,-0.0007,-0.0393,-0.0099,0.0405,-0.0009,-0.0007,0.0405,2000,1.0000,0.6098,168,0.4726,0.193607,0.0498,
101,1.7004,0.0055,0.0302,-0.0009,-0.0007,-0.0064,-0.0309,0.0316,-0.0009,-0.0007,0.0316,2000,1.0000,0.6101,167,0.4606,0.193642,0.0891,
102,1.7172,0.0035,0.0305,-0.0009,-0.0008,-0.0044,-0.0313,0.0316,-0.0009,-0.0008,0.0316,2000,1.0000,0.6101,167,0.4607,0.193644,0.1733,
103,1.7341,0.0709,-0.0165,-0.0008,-0.0008,-0.0717,0.0157,0.0734,-0.0008,-0.0008,0.0734,2000,1.0000,0.6095,170,0.5135,0.193649,0.0926,
104,1.7509,-0.0463,-0.0002,-0.0009,-0.0007,0.0454,-0.0005,0.0454,-0.0008,-0.0007,0.0455,2000,1.0000,0.6101,164,0.4208,0.193538,0.0793,
105,1.7677,-0.0362,0.0149,-0.0009,-0.0007,0.0353,-0.0156,0.0386,-0.0009,-0.0007,0.0386,2000,1.0000,0.6102,164,0.4176,0.193576,0.0329,
106,1.7846,-0.0369,0.0148,-0.0009,-0.0008,0.0360,-0.0156,0.0392,-0.0009,-0.0008,0.0392,2000,1.0000,0.6102,164,0.4177,0.193577,0.0321,
107,1.8014,-0.0947,-0.0005,-0.0009,-0.0007,0.0938,-0.0002,0.0938,-0.0009,-0.0007,0.0938,2000,1.0000,0.6103,162,0.3973,0.193527,0.0283,
108,1.8182,0.0141,0.0060,-0.0008,-0.0007,-0.0149,-0.0067,0.0163,-0.0008,-0.0007,0.0163,2000,1.0000,0.6100,165,0.4343,0.193554,0.1167,
109,1.8351,0.0506,0.0095,-0.0009,-0.0008,-0.0515,-0.0103,0.0525,-0.0008,-0.0008,0.0524,2000,1.0000,0.6097,169,0.4871,0.193613,0.1016,
110,1.8519,0.1358,-0.0378,-0.0009,-0.0008,-0.1367,0.0370,0.1416,-0.0009,-0.0008,0.1416,2000,1.0000,0.6090,172,0.5529,0.193624,0.1757,
